,id,tweet,subtask_a,subtask_b,subtask_c
1590,76436,@USER He is too lazy. Just slouches over and waits for the defender to come to him. Bum,OFF,TIN,IND
9399,84985,"@USER @USER @USER I hope all remember and think real"" hard.  Folks, you are just a Carbon Reduction to them. And they are looking for MORE.  URL",NOT,,
3673,20137,@USER @USER  last night my 6 year old daughter Audrey broke both of the bones in her lower leg. You are her biggest heroes! She talks about meeting y’all in Phoenix all the time. Any chance she could get a “get well shoutout”,NOT,,
8826,71062,@USER @USER Don’t let the door hit ya...,OFF,TIN,IND
7952,47068,@USER @USER Which has no bearing at all on how he will vote on abortion and gun control and the President's legal issues.,NOT,,
11820,42734,#Yemen tries gun control URL #theeconomist,NOT,,
9355,52863,@USER Come on Texas I know your not ready to hand over your guns to liberals!,OFF,TIN,IND
12633,86742,@USER Again another b******* story no one is watching football because of this a******,OFF,TIN,IND
4294,59288,@USER He must see a lot of himself in them.,NOT,,
7428,61527,@USER @USER he is rushing to catch up to drumpf,NOT,,
9560,31019,@USER @USER @USER Fuck you...  If she dare then why didn't she choose any other granth ..haha .. m sure she is looking for some publicity.. Bible or kuran . Whatever her intention was but she done a drama . May be she want to start any business that requires public intention.,OFF,TIN,IND
864,87127,@USER Congratulations #POTUS #MAGA,NOT,,
9907,26179,@USER @USER @USER @USER You knowmandni know you are on the verge from my education satochi data,NOT,,
9150,65913,@USER DNC corruption URL,OFF,TIN,OTH
5043,49940,@USER @USER @USER @USER Now Comes The Pain...........  #MAGA🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸  #WWG1WGA URL,OFF,TIN,OTH
4079,28564,@USER Gun control . . . means being to hit what your aiming at! These elderly homeowner have great gun control!,OFF,TIN,GRP
4800,42827,@USER @USER @USER @USER @USER @USER she is amazing!!,NOT,,
4572,47952,@USER @USER so you are not covered even at 350?,NOT,,
11607,46127,@USER @USER @USER @USER You liberals sure are a delusional lot. HA! URL,NOT,,
8055,84763,@USER @USER Oh Rookie you’re we’re as adorable then and you are now!  Quite the baseball family tree.,NOT,,
1959,31336,@USER Congratz @USER you are going to make a GREAT mom!,NOT,,
5013,50116,@USER i’m still bitter she deserved better,NOT,,
594,68336,@USER Yup total gun control works just fine.  Well not in Mexico.,NOT,,
6202,84515,@USER Blocked,NOT,,
10716,93678,"... ... ... She is responding to her children... Zero... We have no time... You must find a way to stop Elpizo."" (X, MMZ2)""",NOT,,
8767,24591,@USER @USER I'm glad you are doing something fun!,NOT,,
8073,66125,@USER thanks Joe!!! my sanity was forsaken a looong time ago hahaha,OFF,TIN,GRP
7726,18939,@USER @USER Your logo looks an awful lot like the Antifa flag and Communists flags. Coincidence much?,NOT,,
7560,95191,@USER @USER Where does antifa fall on this report? Or did you only look at the right?,NOT,,
515,69106,I got more common sense than all of my followers  :),OFF,TIN,GRP
6885,48988,@USER @USER @USER @USER @USER @USER Fuck if I fry with no money imagine if there was,OFF,UNT,
4621,35216,@USER Perhaps the Myers House. Wynn runs Smithsgrove and he’s the leader of the Thorn cult. I used to think he was my friend until he revealed his true intentions. He is a madman!,OFF,TIN,IND
12678,59929,"@USER   Your continual use of Left liberal Progressive on your show are Euphemisms for the democrat Party who owns"" them until deny them &amp; ideology.  You are lying to the Public by not calling a spade a spade.""",OFF,TIN,IND
3901,46418,"@USER Well, there's that one idiot you keep thinking will show up in your mirror every sundown when you rise again to walk the night in search of carnage to fill the emptiness where your heart &amp; soul used to be. Altho, now ya mention it, lots of other conservatives"" come to mind too.""",OFF,TIN,IND
8255,70635,@USER Companies that hire illegals that commit crimes sb required to cover legal fees or be fined for malfeasance for hiring them in the first place. We will never solve this problem until strict laws are passed.,NOT,,
8391,88261,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER So true! Poor basement dweller!!,OFF,UNT,
12542,18314,@USER Climate always changes. It’s the climate frauds with their wealth redistribution scheme that is new.,NOT,,
3739,29339,@USER @USER @USER @USER @USER @USER @USER ...theyre setting a horrendous precedent here. Any horny teenage makeout sessions are now open to interpretation and hazy recollecting..?,NOT,,
1945,93132,"@USER You are too pure to become like this, Atsushi-kun.""  He whispered as if he could hear what the child was thinking about. That wasn't so hard.  ""I love you, I have adopted you, I have saved you. You showed me a beautiful light, Atsushi-kun.""""",NOT,,
6453,69911,@USER @USER Dammit!! I fell asleep. Can someone tell me what they were chanting about?,NOT,,
2343,77751,#PakNeedsMediaPolicy  So called desi liberals want uncontrolled n unlimited liberty of media that is not acceptable or positive for any society URL,NOT,,
2642,31493,@USER Bring on the hypocrite gungrabber. MAGA,OFF,TIN,IND
12543,90363,@USER @USER @USER Rooney wont do anything.  He is the one that needs to take some action.,NOT,,
4436,81782,@USER that’s so fucked up omg in my old hs there’s open campus and for every period you skip there’s a 200 dollar fine lmaooo,OFF,UNT,
3501,95547,@USER Now that’s the pot calling the kettle black! Liberals are nothing but bullies! Antifa-Bullies!!! Trump Haters-Bullies!!!,OFF,TIN,GRP
7987,55902,@USER Good shit! Kaepernick is a great model for young kids who play football to stand up for what they believe in,OFF,TIN,IND
6182,46814,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Too bad the 🤡 are funding it or it would tank by economic law.,NOT,,
10802,79620,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Man...can't believe we've lost these 2 as of recently. 2 most Iconic actors of the 70s. URL,NOT,,
330,23853,#Health &amp; #Nature under threat from #UK #US @USER URL,NOT,,
11818,90065,@USER 😂 It's a shame some people like you are so obsessed with never admitting you're wrong,NOT,,
13058,20877,@USER She is just plane NUTS,NOT,,
1082,31233,@USER you are the only motherfucker with common sense on this website,NOT,,
6295,46858,@USER Chuck is a “ DUCK !”,OFF,TIN,IND
4410,61352,@USER @USER I think we should. But no I don’t think most American do. We divide ourselves in groups along social issues(Conservatives or liberal). Probably because we don’t have a labor party. Or a party that truly cloaks itself in labor identity.,NOT,,
9363,26167,@USER the criminals need gun control,NOT,,
10734,29462,@USER It doesn’t go far enough. Jr. You are going to jail....treason....,OFF,TIN,IND
4113,10660,@USER @USER TRUMP TRUMP TRUMP MAGA!,NOT,,
11394,11299,@USER Whenever ya'll reference the wire all I'm going to think is exit stage left,NOT,,
9208,76616,@USER Eric (fast n furious) holder,NOT,,
316,42528,@USER If bobby is fit thats exactly what i would say but not sure if he is or not,NOT,,
8118,62012,@USER But couldn’t take care of Racism that was created during his presidency...  never heard the words Equality come out of his mouth.   We are a melting pot!!!,NOT,,
4926,59794,@USER @USER @USER I suggest that you get worser jobs as you are just what they don’t want. you might of even been in the same office. You might of been arguing with yourself. your just both gay,OFF,TIN,IND
11196,43987,"@USER @USER @USER Politically neutral"" yeah sure buddy, i mean most milquetoast conservatives, even the never trump ones agree with Trump's policies, and the whole gay marriage and abortion seems like the bare minimum""",NOT,,
862,14209,@USER Don't think she did much to accomplish that goal!,NOT,,
9983,49311,@USER @USER Her terms!? WTH She's running the show now so Kavanaugh's confirmation hearing is being delayed as the liberals want. Something is not right.🤔🤨,NOT,,
7951,31311,@USER That’s messed up. #WalkAway Congresswoman M. Waters has ZERO control of her demon within. That’s what happens when she &amp; other stupid a_ _ greedy folks willfully submit their souls to the Devil. Satan was defeated again in 2016. @USER #AmericaFirst #MAGA @USER,OFF,TIN,GRP
11966,43879,@USER @USER Please clarify what subsection you are referring to.,NOT,,
7922,83062,@USER A curly fry in horsey sauce at Arbys and a fry-frosty at Wendys is how you fast food.,NOT,,
3223,12748,.@USER .@USER .@USER .@USER #HypocrisyMuch? .@USER .@USER .@USER that's why you are an enemy to the people #FakeNews go against political opponents and hide crimes from #Liberals #BigStuff! URL,OFF,TIN,IND
9424,80342,@USER @USER Right... disgusting! I can’t tell if these acc is a man or woman but he/she is sick.,OFF,TIN,GRP
4645,96828,@USER @USER @USER @USER Term limits won't work any better than gun control for the same reasons. In particular for the Congress.,NOT,,
10137,25390,"@USER Holder is an evil, hateful, dangerous man.  He's a real"" racist.  He absolutely hates White People.  He &amp; Obama contributed to the race riots during O's Admin.""",OFF,TIN,IND
11013,11712,@USER @USER @USER @USER @USER It was more of an allusion to the must-keep-growing economy and the dependence on bullshit jobs to pay back unnecessary debt to create growth to prevent that whole thing falling over.  I vote according to the circumstances at the time of the election.,NOT,,
9273,81105,@USER Well now he is cut!,NOT,,
6254,44085,@USER He’s a nut job and to republicans thinking he will support your “let kids be murdered in school” policy he says Emma Gonzalez is his idol who is a gun control advocate so don’t be fooled unless you want liberal policies. (Personally I do but what the hell),OFF,TIN,IND
5767,59639,@USER @USER Hope you're right about that last part. But I've learned it's pointless to underestimate the stupidity of TX conservatives.,OFF,TIN,GRP
12023,39259,"@USER your ANTIFA army are the dregs of society"". I pay taxes.""",NOT,,
10597,42594,"@USER @USER Daniels said her job does not reflect her character, really. She is a cheap, sleezy porn lap dancer. The is no high road"" to take in that type of job""",OFF,TIN,IND
10723,43363,@USER AGREED 100%. They are the majority.  And there letting the #LIBERALS dictate how they want to proceed!,NOT,,
156,35944,@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck,NOT,,
2003,17898,@USER This guy wants to be a successful producer and he is tweeting stuff like this.,OFF,TIN,IND
3228,44391,@USER Someone please call for gun control because the Bengals can't stop shooting them selfies in the foot URL,OFF,TIN,GRP
1942,91134,@USER Says the man with 18% favorability and won't win so he is retiring!🤣,NOT,,
10390,69853,@USER This is going to backfire for the liberals...badly. I'm guessing Feinstein was fixing to retire because this should sink her.,NOT,,
2937,85053,@USER Put your stance on gun control on your website.,NOT,,
10428,25476,@USER @USER @USER Really you should read what Blake said. You are just another man completely missing the point,NOT,,
8649,81306,@USER @USER He'd probably get his face bashed in by a horde of angry Antifa armed with lead pipes.,NOT,,
11116,13052,@USER Fat ass.... heart attack city..... keep eating fat ass....,OFF,TIN,IND
11616,41728,@USER @USER @USER I just don't get why the majority of liberals don't show there pic just curious is all...well with that being said I must say I enjoyed  bickering back and forth with you...its been real...you have a nice day...😁,NOT,,
11124,60876,@USER Because Obama has zero accomplishments. He is the worst President r leader of any country hands down. It shows the liberal lunacy when they worship a total loser. They don't know what they want..no party goals. nothing except complain about TRUMPS accomplishments. Fu*k liberals.,OFF,TIN,GRP
7069,36049,@USER She is so dumb and clueless! Pushing a pipe dream. What fools they are that put her in office. Sad! #FoxNews #SocialismSucks,OFF,TIN,IND
6933,22174,@USER @USER I can just hear the trumpsters now crowing that we liberals loved Jane Fonda and supported draft dodgers. I grew up in those times. I was against the war but knew Fonda had gone too far and was wrong. I supported those who burned their draft cards AND those who served.,OFF,TIN,IND
9247,78443,*pats tears* Gosh..... Dammit *sniffs* *sighs* My baby-* sniffs* She just doesn't deserve this💔😭. She is so precious and I- URL,OFF,UNT,
11354,10106,@USER Still coverup.  And bet the anonymous writer of op-ed in NY times on sept 5th was the ny times itself!!!!  No sr adminstrator of #Potus. But cud say it was since refused to name writer ...ALL TO STIR UP CRAP WITHIN #TRUMP Camp!!! And #Maga,OFF,TIN,IND
2768,94680,@USER @USER And she is obviously trying to be cardi! She’s desperate URL,NOT,,
13222,64713,@USER @USER I'm a Boise State fan so I can tell you two things about Kellen Moore. He is a winner and he Is cerebral. Knows he doesn't have a cannon for an arm so he fits his game into his ability. What's wrong with that? Not everyone can be Aaron Rodgers.,NOT,,
1614,59510,@USER @USER @USER @USER @USER Sorry and yes you are very wrong as most people who don’t read the science behind the generation and subsidies are. My page is a good place to start but reading 10-20 books on the subject will get you some excellent schooling. Very complex.,NOT,,
8532,36789,@USER @USER Bitch I wanna know,OFF,TIN,IND
8520,89949,@USER @USER @USER You definitely made judgements about me and your tweets prove it. I made reasonable observations based on what you said about yourself. You disagree and that's fine. Applying your own advice is something you should try.  #MakeAmericaGreatAgain #AmericaFirst #MAGA #USA🇺🇸,NOT,,
11890,58852,@USER @USER @USER 1. Depends on what you mean by gun control 2. Because they are? 3. It's called lobbying. Been around forever 4. Neither does gun control 5. Assault rifles are already banned,NOT,,
8045,33367,@USER Maybe while he is on the DL someone can show how to wear his hat,NOT,,
2501,68904,#omg #bobbybrown sister #leolahbrown is not having it with #bet #Bobby roe story she is calling out his ex-wife for fabrication and #lies #celebnmusic247 #celebritynews #breakingnews #news #thebobbybrownstory URL URL,NOT,,
6516,75449,Shame on @USER @USER @USER @USER @USER and all the rest of the left wing media that are not doing their jobs and purposely looking the other way. This is the best example yet of their #FakeNews bias. #MAGA #WalkAway from the bias and corruption of the left. URL,OFF,TIN,GRP
12605,32629,@USER Picking acts by such nonsensical elements and portraying to world. Pseudo Liberals pastime. Our's is a Country with much great achievements dating back Centuries. Spread that. But that won't suit your agenda. @USER,NOT,,
2304,45155,@USER Fuck you it’s 3,OFF,TIN,IND
2905,22008,@USER @USER Are you kidding me? I’m so pissed for you. He is a sorry excuse for a human being.,NOT,,
3669,25898,@USER @USER @USER @USER Pressure from other liberals may make him change his mind. Their goal is the end result. They don’t care what it takes to get there.,NOT,,
4841,20251,@USER @USER Damn . You are a roll . Bring it!,NOT,,
10735,80718,@USER @USER this hurts to look at,NOT,,
4301,49759,@USER @USER He can admit that 3000 Americans died on his watch. You should remind him he is President of all of us.,NOT,,
1544,57128,@USER The guy is not even a white Romanian he is a gypsy!,OFF,TIN,IND
7056,90712,🛑 Ntknetwork News 🛑 👉 'Senate Set to Pass Bipartisan Bill to Combat Opioids' #MAGA￼🇺🇸#2A #Prolife URL,OFF,TIN,GRP
8178,94876,@USER Looks like gun control 🤷‍♂️,NOT,,
7121,44555,@USER These are truly beautiful and unique.,NOT,,
12601,15570,@USER @USER @USER Farrakhan has refered to white people as Blue eyed devils. Will not even repeat what he has said about Jews. He is anti-Semitic.,OFF,TIN,GRP
6154,66234,@USER @USER @USER @USER I get it the socialist isn't at fault for dressing above her constituents?  But she wanted to look as wealthy as she is?  She grew up rich...,NOT,,
9663,62188,@USER @USER George Soros Antifa People ! URL,NOT,,
7803,62079,@USER @USER is a very lost soul! His father f**ked him up real good!,OFF,TIN,IND
2335,55702,@USER im down in 15 minutes if you are,NOT,,
11134,13983,@USER You are awesome,NOT,,
12295,66620,@USER @USER @USER @USER My wife is from the USA. All my inlaws are thrilled with Trump and the conservatives winning the PC war.,NOT,,
230,19514,Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL,OFF,TIN,IND
2577,76433,@USER @USER Wow! Why are liberals heads EXPLODING over the TRUTH finally coming out! BEST NEWS EVER! Americans FINALLY GET TO FIND OUT THE TRUTH! The @USER and @USER under @USER was the MOST CORRUPT EVER! #MAGA,OFF,TIN,IND
11174,71786,@USER @USER @USER @USER Using that thought/conspiracy then it would be safe to argue that the liberals have concocted this and are stalling in order to help the liberals interest in that. The perfect pawn would play fearful of  the process thereby helping confuse &amp; prolong the process.,OFF,TIN,OTH
5130,25061,@USER  #ProteccKaiser He is a fucking sweetheart and DESERVES THE WORLD GODAMN IT,NOT,,
3518,43978,@USER This is why we need gun control,OFF,TIN,OTH
3749,64873,"@USER ATTENTION! @USER is publicizing a list of ANTIFA TARGETS comprised of Trump supporters. Some are high profile names, but MANY are everyday Trump supporters. Please report him to Twitter. They still have NOT suspended his account. Check out his Lists"".""",NOT,,
12783,60350,"@USER It's the same slippery slope"" argument used very successfully by the gun lobby Margaret. Sure it's way outside the normal conversation but probably 60% of the country buys into that narative about gun control.  So what's the difference if the Women's lobby uses it?""",NOT,,
1203,37610,@USER You go girl! God bless you and all the survivors and for getting young people out there to vote for common sense gun control,NOT,,
8438,26656,@USER @USER @USER @USER @USER Lol!  Don’t hold your breath while you are waiting - because it’s going to be about 6 more years of President Trump. URL,NOT,,
12266,82569,"@USER wow @USER you didn't look up permanently"" and ""suspends"" before placing them next to each other in a fucking headline? #youhadonejob""",OFF,UNT,
3622,16082,@USER @USER Please explain why anti any gun control desantis would somehow hold people accountable?,NOT,,
5565,89550,10: Kevin Williamson's excellent @USER piece on why even if there is a bias against conservatives at social media giants it still shouldn't be the governments business URL,NOT,,
9547,52515,"@USER Police state tyrant liberals LOVE the word dangerous"" when gaslighting their sheep.""",OFF,TIN,GRP
8596,31877,@USER @USER @USER If by Conservatives you mean people that work and pay taxes to help support people like you then I guess we are dumb thinking that you would appreciate it instead of wanting more and more. Get a job start paying taxes and see how much you love any tax and spend gov.,OFF,TIN,OTH
10307,47412,@USER @USER Liberals always play victim. URL,NOT,,
8565,37862,@USER @USER @USER He is being sued for sexual assault.,NOT,,
3403,31315,@USER Gutierries =💩 what did he do to help PR ? What is he doing now besides hoping for a high body count to blame on Trump,OFF,TIN,IND
1480,10969,@USER Ain uor kkkkk,NOT,,
12188,57844,@USER @USER @USER She is a Monkeying Around. 🤣🤡 URL,NOT,,
12393,67662,@USER You know as well as I do that race hustling is all the liberals have.,NOT,,
5099,94396,@USER Do you have the state right....Cali and Chicago are protected by many strict gun control laws.,OFF,TIN,IND
1444,53434,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Proud to follow all.  Thanks for the follow-back!,NOT,,
5715,66090,Really # MAGA  VOTE TRUMP 2020,OFF,TIN,IND
5557,33456,@USER Democrats started the KKK and Antifa. Sheep no more. #WWG1WGA!!!,NOT,,
11494,61581,@USER @USER @USER @USER @USER @USER Because that’s how it works in sports when you chose to represent a country that is the country you are known for when playing that sport or for achievements in that sport they’re not taking away from her Haitian heritage they’re just using the country she represents in the sport,NOT,,
9783,75196,@USER Boy Hollywood sure does like to look like fools all the time.  Wait until they find out it's a big hoax manufactured by liberals.  Think they will apologize to Kavanaugh?  No way.,OFF,UNT,
10773,13085,1/2 establishment. May.  panicking. Trying to get us to abandon brexit. Liberals.. MPs. Now police say they couldn't keep us safe if we leave eu. They say we'll be bankrupt. house prices  fall. Food prices rise.... URL,NOT,,
3785,85550,@USER Absolutely. He is very special.,NOT,,
10373,21722,@USER @USER @USER He is,NOT,,
6595,41131,@USER @USER @USER Check this ad out. Super creepy  People are pointing out a disturbing problem with this Republican election ad URL,OFF,TIN,GRP
6741,83029,@USER Now do gun control,NOT,,
5105,49772,@USER @USER @USER You’ve got too many NewYork Liberals moving into the state. I see it in my town.,NOT,,
11631,51836,@USER @USER You are wrong.  Time for you to shut your mouth.  You  remember when you sent me these TWEETS?    Now you know why you are getting Tweets in return,NOT,,
6180,28067,"@USER The Hollywood elites make fun of Republicans, Conservatives, Christians, Jesus, &amp; Ex-crackheads. That's very funny, considering they consist of Democrats, Liberals, Atheists, Satanists, and CURRENT"" Crackheads. And don't forget, the adulterers, pedophiles, and abusers of woman.""",OFF,TIN,GRP
2192,55945,@USER @USER “BuzzFeed News contacted the woman believed to be the subject of the letter at her home last week. She declined to comment. BuzzFeed News has not been able to confirm the contents of the letter.”  Now hearing she is a high school classmate.,NOT,,
1408,97469,@USER And Twitter seems to be beholden to CNN,NOT,,
11804,80522,@USER This actually supports gun control.   He’s alive.,NOT,,
7857,34896,@USER @USER No thanks Open borders Gun control This is not Texas,NOT,,
6163,40159,@USER LIBERALS hear the sucking sound of the SWAMP,NOT,,
11512,76453,@USER @USER @USER @USER You can make fun of liberals that come up with fake stories.,NOT,,
11417,43741,@USER liberals have turned everything into a 3 ring circus.,NOT,,
7469,54030,@USER @USER Pushed to my limits. URL,OFF,TIN,IND
3104,56041,@USER @USER Only if she is to remarry does it stop.,NOT,,
7280,80348,@USER @USER He is a Senator and Trump is President. He's not wrong.,NOT,,
8712,42202,@USER tell that to him. He is very perfectionist. I don’t think we will change that ever 😅,NOT,,
9079,37232,&lt;treph&gt; I have my computer &lt;treph&gt; and &lt;treph&gt; no job. &lt;treph&gt; &gt; i &lt;treph&gt; You are carrying: &lt;treph&gt; a computer &lt;treph&gt; no job,NOT,,
10898,53534,@USER If the @USER really want to conserve everything that is great about the #UK then they really need to bury this #fracking nonsense &amp; do everything possible to make us energy efficient &amp; fossil fuel free.  @USER please do the right thing!  @USER @USER,NOT,,
1799,45871,Antifa Caught Off Guard After Getting Confronted By The Last Person They Ever Wanted To Answer Too URL,NOT,,
5516,52776,@USER Fake Queen!,OFF,TIN,IND
2483,88947,"@USER @USER I would temporarily change parties if the Republican party would Primary agent orange"" with a REAL, Republican, Conservative. That would MAGA!!! At least a great start.""",NOT,,
2599,86659,@USER TIRED,NOT,,
1184,43651,@USER Chelsea she is so freaking beautiful I can't believe her skin color so beautiful! I live Aubree she is such a great little lady!,NOT,,
5912,49178,@USER Its amazing that these DemoRats are elected to any public office! Their total disregard of the US Constitution and due process is abhorrent. They hung this woman out to dry and the woman refuses to come foward and its the Conservatives fault,OFF,TIN,GRP
6792,54968,@USER @USER Awewww u falling for back up after blocking people 😂😂😂😂 end of days my man their all going down this is day one give me a month and we will strip the fascist antifa and mugs like you of all secrecy,NOT,,
7583,85133,@USER He got his chance and blew it,OFF,TIN,IND
7739,67572,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Cute,NOT,,
982,63408,A bitch is complaining to corporate about me in our lobby lmaooo,OFF,TIN,IND
2493,26123,@USER War on Conservatives never stops.,NOT,,
9724,90869,@USER @USER I'm sure you are not. You just thought it was free 😁 there's nothing wrong with that 😂,NOT,,
6017,37149,@USER Holder is a complete corrupt scum bag. I remember when he announced his is part of the resistance. Which means he want to resist the people who voted for Trump. Can U imagine the people he would have hunted down and prosecuted if this happened to bone head obama,OFF,TIN,IND
10654,66874,@USER He is asleep.   Am I that boring??,NOT,,
9080,47499,@USER @USER @USER @USER @USER And then to cap it off the £1.14bn figure ignores the drip down effect of those families spending their money in small and big businesses generating jobs consumption taxes etc.  It really hasn’t been thought through #HMRCHumanCost #2019LoanCharge,NOT,,
6747,98723,President Trump's order to declassify FISA docs and text messages just proves he is keeping his campaign promise and working to #DrainTheSwamp   #BREAKING #FISADocs #Declassified #DeepStateCorruption #politics #MAGA,NOT,,
5177,87668,@USER @USER Now the woman has not responded to MANY attempts to be contacted about whether or not she is going to show up Monday to testify. I thought she wanted to “ be heard” all of a sudden!,NOT,,
852,24410,#DueProcess not permitted for #Conservatives but #documented evidence against #Democrat can’t be believed #DoubleStandards #ConfirmKavanaughNow  URL,NOT,,
10340,78399,@USER @USER @USER @USER Whoa!  Angie!!! Back off that logic!  You're going to confuse the liberals.,NOT,,
4290,79646,@USER @USER James she is neck deep in her own confirmation bias she is unable to see logic and reason at this point.,NOT,,
10538,48013,@USER He don't seems happy just look at his eyes its like he is staring into ur souls,NOT,,
6679,35677,"@USER I dont think at your job is the place to protest perceived police violence or whatever you are protesting"". If you really cared go to your local PD and protest there, taking a knee at a ballgame on your job doesnt take guts and only makes you look ignorant.""",OFF,UNT,
8474,69998,* Christian Kabasele reveals the secrets behind Watford's perfect start to the Premier League season : Beans are banned at Watford's training ground so Christian Kabasele spills the avocado and quinoa. He is is intelligent.. . URL URL,NOT,,
5097,98615,@USER @USER Wait for it...GUN CONTROL...oh wait Hoggy boy is in Canada 🤣🤣🤣🤣,NOT,,
13108,57722,@USER @USER She is asking questions there are no answers for.,NOT,,
6422,19135,@USER @USER Because he knows he is going to Jail soon,NOT,,
865,92949,Too bad life sucks 4 u #schiff4brains 😂 ur going down along wi ur other CRIMINAL friends. Only red line crossed is the LIES U TELL. U will never b anything more than the belly of a SNAKE #MAGA #TRUMP2020 #schiff4brains URL,OFF,TIN,IND
1100,48370,@USER Blame Trump for the weather and the corruption that existed for decades in PR. What an ass typical democratic,OFF,TIN,IND
6108,79096,@USER You are strong girl. Don't listen to the trash talk. They don't know anything. You just go and tell the truth. That's all that matters. 🙏🌊🙏🌊,NOT,,
3842,11312,@USER @USER He’s by far SC’s best option. I don’t want anyone else to start. It’s just the reality of who he is.,NOT,,
11597,10627,@USER Just came here from the video and man am I discusted by greg seriously he is taking advantage of his sons fame.........f*%k greg.....🔥,NOT,,
150,32942,@USER He is doing life tho😑,NOT,,
6148,95822,@USER @USER @USER @USER @USER @USER @USER There's no hope for you and Jerry. Unbelievable how close-minded you are. URL,NOT,,
5699,11947,@USER of course it won't....laws don't apply to conservatives,NOT,,
9090,57036,@USER Smh nigga dat shit gone take us far u tweaked out🤦🏼‍♂️💯,OFF,TIN,IND
8242,73496,@USER #cnn will go down in flames with the rest of the liberals.  They are far too clueless to change.,OFF,TIN,GRP
13173,36225,@USER Go to Iran where u belong stupid idiot.,OFF,TIN,IND
770,95718,@USER Hillary is a good reason to keep the electoral college.,NOT,,
12031,30045,@USER @USER “Gun control saves lives”.  🙄,NOT,,
4496,32343,@USER And their last hit and ounce of relevance? #NetherlandsTaxHaven,NOT,,
2149,94318,@USER You’re right. But if our terrorize someone for having a different belief.. you are not any better,NOT,,
4498,90232,@USER Silly unhinged liberals.,OFF,TIN,GRP
4904,91637,"@USER @USER @USER @USER @USER You are so full of shit. A.)  Violent crime is down &amp; has been on the decline for decades B.) Where gun crime is a problem, it is a state &amp; local problem &amp; no so called common sense"" gun control law passed at the federal level will fix it. You are clueless about this problem.""",OFF,UNT,
9581,83558,@USER Holy shit he's a prophet,NOT,,
3193,17618,@USER Who CARES??? She broke into HIS home and shot him. She is the one. That needs to be held fully accountable for her actions.,NOT,,
8369,95149,@USER om ah BITCH lol i love you domo 💖,OFF,UNT,
6355,86895,@USER And then Americans are going to demand Christine Ford face Criminal charges &amp; face jail time when she is proven to have lied. Her guilt is in the fact she contacted Dems Not the FBI. Ford did not come forward as a witness in the hearing. She’s bought and paid for,NOT,,
7765,67851,@USER @USER Antifa Slim is obsessed with Trump.,NOT,,
7848,54590,@USER @USER It would be an interesting study if people were more gullible in Victorian times...with rising of the Antifa...,NOT,,
7953,79564,@USER @USER You can’t tell us #Conservatives that @USER didn’t connive with @USER to keep all of this under wrap till time for final POTUS vote..#DirtyPolitics,NOT,,
4311,38942,"@USER Lol, read the title and you already know whats coming... ...who support common sense solutions to reducing gun violence,"" How is gun violence different from other violence? What is a non-automatic firearm? What is common sense gun control? Is it like Chicago, NY,.. London?..""",OFF,TIN,GRP
12866,33397,@USER Thank you bro . I’m glad that you think she is bro because she is but if she did it wouldn’t make her any less amazing .,NOT,,
6433,29792,@USER I checked... #followed 🤷🏻‍♀️😂,NOT,,
7792,53003,@USER Oh this is gonna get some Antifa idiots shot so fast...  😂😂 they don't even realize gun owners are usually really aware of what's going on around them.,OFF,TIN,GRP
1114,19746,@USER Indie: (noun) a place where people as talented as you are working just as hard as you to get to the spot you're at.   Opportunity doesn't knock for everybody.,NOT,,
2407,25625,@USER @USER Typical... When it backfires it's nothing to see here move along...  Trump supporters these days are doing the same thing... All this shit Trump is getting called out on. It's nothing to see here move along . Lol,OFF,TIN,IND
2930,11495,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He truly is projecting. Prior to coming on this thread it doesn’t seem he had any interactions on twitter just a lonely boy trolling conservatives.,NOT,,
12786,63717,@USER By screaming at the officials or by throwing her racket? I'm confused.,NOT,,
